            
	    0 [(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]   4
            1 [(0, 1), (2, 3), (4, 5), (6, 8), (7, 9)]   3
            2 [(0, 1), (2, 3), (4, 5), (6, 9), (7, 8)]   2
            3 [(0, 1), (2, 3), (4, 6), (5, 7), (8, 9)]   1
            4 [(0, 1), (2, 3), (4, 6), (5, 8), (7, 9)]   2
            5 [(0, 1), (2, 3), (4, 6), (5, 9), (7, 8)]   0
            6 [(0, 1), (2, 3), (4, 7), (5, 6), (8, 9)]   2
            7 [(0, 1), (2, 3), (4, 7), (5, 8), (6, 9)]   3
            8 [(0, 1), (2, 3), (4, 7), (5, 9), (6, 8)]   4
            9 [(0, 1), (2, 3), (4, 8), (5, 6), (7, 9)]   1
            10 [(0, 1), (2, 3), (4, 8), (5, 7), (6, 9)]   0
            11 [(0, 1), (2, 3), (4, 8), (5, 9), (6, 7)]   5
            12 [(0, 1), (2, 3), (4, 9), (5, 6), (7, 8)]   4
            13 [(0, 1), (2, 3), (4, 9), (5, 7), (6, 8)]   5
            14 [(0, 1), (2, 3), (4, 9), (5, 8), (6, 7)]   0
            15 [(0, 1), (2, 4), (3, 5), (6, 7), (8, 9)]   0
            16 [(0, 1), (2, 4), (3, 5), (6, 8), (7, 9)]   4
            17 [(0, 1), (2, 4), (3, 5), (6, 9), (7, 8)]   5
            18 [(0, 1), (2, 4), (3, 6), (5, 7), (8, 9)]   3
            19 [(0, 1), (2, 4), (3, 6), (5, 8), (7, 9)]   1
            20 [(0, 1), (2, 4), (3, 6), (5, 9), (7, 8)]   4
            21 [(0, 1), (2, 4), (3, 7), (5, 6), (8, 9)]   5
            22 [(0, 1), (2, 4), (3, 7), (5, 8), (6, 9)]   0
            23 [(0, 1), (2, 4), (3, 7), (5, 9), (6, 8)]   3
            24 [(0, 1), (2, 4), (3, 8), (5, 6), (7, 9)]   2
            25 [(0, 1), (2, 4), (3, 8), (5, 7), (6, 9)]   4
            26 [(0, 1), (2, 4), (3, 8), (5, 9), (6, 7)]   1
            27 [(0, 1), (2, 4), (3, 9), (5, 6), (7, 8)]   3
            28 [(0, 1), (2, 4), (3, 9), (5, 7), (6, 8)]   1
            29 [(0, 1), (2, 4), (3, 9), (5, 8), (6, 7)]   5
